time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,subject_number,foot
4.944,0.14532728353629762,0.9855256759884624,-0.06208261802339783,-0.5931969796768252,0.027295945485598765,-0.16450679703626553,-0.2442667494633104,0.4467952614743257,0.6341092061660343,1,left
4.948,0.14382054431064595,0.9881174864622702,-0.06284978942615643,-0.6066992026676676,0.02775474800107361,-0.16829637515531712,-0.24656839198487115,0.44030759243764594,0.6377042525410922,1,left
4.949,0.14225660280003882,0.9908275588926545,-0.06360264554047794,-0.6202574889690282,0.028240079028644248,-0.17263591010429002,-0.24888206878783534,0.4339142469854234,0.6414937483317448,1,left
4.954,0.1406358891704334,0.9936571831622587,-0.06434002311280843,-0.6338866229400457,0.028761607978826133,-0.17752063401230192,-0.25120865630960254,0.42762121266708103,0.6454797216917604,1,left
4.954,0.13895896787658957,0.996607506386542,-0.0650607659385942,-0.6476016264263791,0.029329875564716126,-0.18294540887598193,-0.2535490502714565,0.42143432507565154,0.6496643148744174,1,left
4.958,0.13722654012559235,0.9996795260716653,-0.0657637249258063,-0.6614177479143543,0.029956291344600098,-0.18890474224739692,-0.25590416542206773,0.41535926216059804,0.6540497801143799,1,left
4.959,0.13543944610073463,1.0028740833205605,-0.06644775809181612,-0.6753504516869807,0.030653130025828614,-0.19539280269797776,-0.2582749353123002,0.4094015383859764,0.6586384752236022,1,left
4.959,0.1335986669354456,1.0061918561129592,-0.06711173050325758,-0.6894154070212711,0.031433526531617885,-0.20240343507401815,-0.26066231206051366,0.4035664988729217,0.6634328588648138,1,left
4.963,0.1317053264258666,1.0096333526845396,-0.06775451416917479,-0.7036284774665867,0.032311469832601886,-0.20993017556085303,-0.2630672660517487,0.39785931371800926,0.6684354854505482,1,left
4.9639999999999995,0.129760692468033,1.0131989050331076,-0.06837498789800436,-0.7180057102440675,0.0333017955451658,-0.2179662665743415,-0.26549078553007294,0.39228497262713197,0.6736489996324281,1,left
4.968,0.12776617820275937,1.0168886625841587,-0.06897203712821087,-0.732563325807586,0.034420177298832746,-0.22650467149978049,-0.2679338760719347,0.3868482799108383,0.6790761303750937,1,left
4.968,0.12572334284948325,1.0207025860496022,-0.06954455374095957,-0.747317707579845,0.0356831168704237,-0.23553808928744507,-0.27039755994426534,0.38155384983519675,0.6847196846259193,1,left
4.968999999999999,0.12363389221026026,1.0246404415102268,-0.07009143586241917,-0.762285391741477,0.03710793305886351,-0.24505896885336,-0.27288287535429606,0.3764061023121833,0.6905825405955002,1,left
4.973,0.12149967882643754,1.0287017947470265,-0.07061158766273559,-0.777483056706312,0.03871274923136739,-0.2550595231236482,-0.27539087559810876,0.37140925891398396,0.696667640664509,1,left
4.974,0.11932270177167321,1.0328860058427354,-0.07110391915681558,-0.7929275117803102,0.04051647944798787,-0.26553174250016853,-0.2779226281150005,0.366567339196012,0.7029779839331365,1,left
4.98,0.11710510606551819,1.0371922240740064,-0.07156734600835413,-0.808635684638506,0.04253881309614019,-0.2764674075886106,-0.28047921345480414,0.3618841573138615,0.7095166184299685,1,left
4.981,0.11484918169330431,1.0416193831138645,-0.07200078933410468,-0.82462460750018,0.04480019801075152,-0.28785810114329136,-0.28306172416537173,0.3573633189198507,0.7162866329977862,1,left
4.9830000000000005,0.11255736222132769,1.0461661965610167,-0.0724031755022855,-0.840911402019416,0.047321822080423785,-0.2996952192463085,-0.2856712636074964,0.35300821832525403,0.7232911488744227,1,left
4.984,0.110232223000988,1.0508311538083193,-0.07277343591886981,-0.8575132629362081,0.0501255933454638,-0.3119699817524483,-0.28830894470461943,0.3488220359147766,0.7305333109874668,1,left
4.987,0.10787647896228543,1.0556125162588945,-0.07311050679732009,-0.8744474405340827,0.053234118594322546,-0.32467344203255166,-0.2909758886347433,0.34480773580029267,0.7380162789822698,1,left
