time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.273,0.1759,0.9811,0.0814,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.278,0.173,0.9816,0.0807,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.279,0.172,0.9811,0.0814,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.283,0.1693,0.9796,0.081,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.284,0.1664,0.9779,0.0802,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.289,0.1649,0.9789,0.0807,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.29,0.1637,0.9796,0.0812,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.292,0.1649,0.9801,0.0783,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.293,0.1639,0.9796,0.078,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.299,0.1639,0.9801,0.0773,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.299,0.1629,0.9784,0.0761,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.303,0.1625,0.9808,0.0775,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.304,0.1625,0.9808,0.0775,-0.0597,0.0097,-0.0091,0.001,0.0008,0.0065
0.305,0.1632,0.9813,0.0778,-0.0597,0.0097,-0.0091,0.001,0.0008,0.0065
0.309,0.1612,0.9808,0.0761,-0.0597,0.0097,-0.0091,0.001,0.0008,0.0065
0.309,0.1607,0.9818,0.0778,-0.0597,0.0097,-0.0091,0.001,0.0008,0.0065
0.313,0.162,0.9816,0.079,-0.0597,0.0097,-0.0091,0.001,0.0008,0.0065
0.314,0.162,0.9816,0.079,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.314,0.1632,0.9838,0.0802,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.317,0.1622,0.9816,0.0805,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.318,0.1651,0.9816,0.08,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.323,0.1639,0.9811,0.0812,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.323,0.1673,0.983,0.081,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.327,0.1671,0.9818,0.0851,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.327,0.1698,0.9816,0.0807,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.333,0.1691,0.9857,0.0795,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.334,0.1693,0.9835,0.08,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.337,0.1693,0.986,0.077,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.338,0.1678,0.9847,0.0748,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.341,0.1634,0.9855,0.0746,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.342,0.1605,0.985,0.0758,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.348,0.1578,0.9896,0.0775,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.349,0.1573,0.9882,0.0802,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.352,0.1568,0.9867,0.0812,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.352,0.1559,0.9862,0.08,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.358,0.1559,0.9852,0.0822,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.359,0.1598,0.9847,0.0844,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.361,0.1607,0.983,0.0851,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.362,0.162,0.9838,0.0883,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.366,0.1654,0.9852,0.088,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.366,0.1671,0.985,0.088,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.371,0.1693,0.984,0.0888,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.371,0.173,0.9847,0.0873,0.0314,0.0062,-0.015,0.001,0.0008,0.0065
0.372,0.173,0.9847,0.0873,0.0314,0.0062,-0.015,0.0001,0.004,0.0081
0.375,0.1737,0.984,0.0883,0.0314,0.0062,-0.015,0.0001,0.004,0.0081
0.376,0.173,0.9828,0.088,0.0314,0.0062,-0.015,0.0001,0.004,0.0081
0.382,0.1739,0.9813,0.0885,0.0314,0.0062,-0.015,0.0001,0.004,0.0081
0.383,0.1759,0.9833,0.0897,0.0314,0.0062,-0.015,0.0001,0.004,0.0081
0.383,0.1759,0.9833,0.0897,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.386,0.1759,0.9813,0.0885,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.387,0.1747,0.984,0.0863,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.392,0.1764,0.9852,0.0856,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.393,0.1749,0.9821,0.0831,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.395,0.1783,0.9813,0.0831,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.396,0.1749,0.9811,0.0834,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.401,0.1737,0.9799,0.0849,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.402,0.1717,0.9801,0.0827,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.405,0.172,0.9823,0.0841,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.406,0.1688,0.9806,0.0839,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.411,0.1661,0.9801,0.0827,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.411,0.1639,0.9813,0.0805,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.415,0.1627,0.9801,0.0792,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.416,0.161,0.9813,0.0805,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.42,0.1615,0.9823,0.0822,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.42,0.1612,0.9803,0.0792,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.425,0.1607,0.9808,0.081,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.426,0.162,0.9801,0.0795,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.43,0.1581,0.9801,0.078,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.43,0.1585,0.9843,0.0797,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.434,0.1585,0.983,0.077,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.435,0.1583,0.9821,0.0758,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.44,0.1607,0.9825,0.0746,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.441,0.1639,0.9818,0.0753,0.0288,-0.0142,-0.0086,0.0001,0.004,0.0081
0.441,0.1639,0.9818,0.0753,0.0288,-0.0142,-0.0086,-0.0028,-0.0043,0.0007
0.444,0.1632,0.9835,0.078,0.0288,-0.0142,-0.0086,-0.0028,-0.0043,0.0007
0.444,0.1644,0.9825,0.0785,0.0288,-0.0142,-0.0086,-0.0028,-0.0043,0.0007
0.45,0.1644,0.9825,0.0785,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.45,0.1639,0.9845,0.0768,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.451,0.1666,0.9828,0.0766,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.454,0.1664,0.9833,0.0746,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.454,0.1639,0.9811,0.0746,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.46,0.1647,0.9816,0.0768,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.46,0.1671,0.9803,0.0773,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.465,0.1666,0.9823,0.0792,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.466,0.1681,0.9825,0.0834,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.469,0.1654,0.9823,0.0834,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.47,0.1647,0.9828,0.0844,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.474,0.1671,0.9872,0.0814,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.474,0.1654,0.9886,0.0797,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.479,0.1651,0.986,0.0792,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.479,0.1634,0.9877,0.0812,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.484,0.1627,0.9862,0.0819,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.485,0.162,0.9869,0.0824,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.488,0.1634,0.9862,0.0824,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.489,0.161,0.9874,0.0822,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.493,0.1622,0.9855,0.0807,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.494,0.1634,0.986,0.0783,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.499,0.1676,0.9835,0.0763,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.499,0.1673,0.9838,0.0788,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.503,0.172,0.985,0.0797,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.503,0.1688,0.9845,0.0773,-0.0011,0.0137,0.0017,-0.0028,-0.0043,0.0007
0.508,0.1688,0.9845,0.0773,-0.0011,0.0137,0.0017,-0.0067,-0.0026,0.0033
0.509,0.1712,0.9852,0.078,-0.0011,0.0137,0.0017,-0.0067,-0.0026,0.0033
0.509,0.1698,0.9862,0.0763,-0.0011,0.0137,0.0017,-0.0067,-0.0026,0.0033
0.515,0.1693,0.9879,0.0792,-0.0011,0.0137,0.0017,-0.0067,-0.0026,0.0033
0.515,0.1688,0.9872,0.0763,-0.0011,0.0137,0.0017,-0.0067,-0.0026,0.0033
0.517,0.1688,0.9838,0.0766,-0.0011,0.0137,0.0017,-0.0067,-0.0026,0.0033
0.518,0.1703,0.9867,0.0739,-0.0011,0.0137,0.0017,-0.0067,-0.0026,0.0033
0.519,0.1703,0.9867,0.0739,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.522,0.1705,0.9835,0.0751,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.522,0.1715,0.9821,0.0761,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.527,0.1705,0.9803,0.0792,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.527,0.1708,0.9801,0.081,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.532,0.1676,0.9796,0.0805,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.533,0.1644,0.9799,0.0817,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.537,0.1637,0.9811,0.0856,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.537,0.1622,0.9813,0.0861,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.543,0.162,0.9825,0.0888,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.544,0.1612,0.9825,0.0888,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.547,0.162,0.9818,0.0912,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.547,0.1644,0.9791,0.0949,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.552,0.1678,0.9784,0.0929,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.553,0.1708,0.9779,0.0956,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.558,0.1747,0.9752,0.0959,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.558,0.1786,0.975,0.0976,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.561,0.1803,0.9759,0.0978,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.562,0.182,0.9762,0.0995,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.567,0.1847,0.975,0.0995,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.568,0.1847,0.9745,0.101,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.572,0.1866,0.9757,0.0978,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.573,0.1864,0.9752,0.0971,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.577,0.1864,0.974,0.0937,0.004,-0.0076,-0.0186,-0.0067,-0.0026,0.0033
0.578,0.1864,0.974,0.0937,0.004,-0.0076,-0.0186,-0.0063,0.014,0.0086
0.578,0.1847,0.974,0.0939,0.004,-0.0076,-0.0186,-0.0063,0.014,0.0086
0.582,0.1871,0.974,0.0919,0.004,-0.0076,-0.0186,-0.0063,0.014,0.0086
0.583,0.1862,0.9764,0.0937,0.004,-0.0076,-0.0186,-0.0063,0.014,0.0086
0.587,0.1862,0.9764,0.0937,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.587,0.1949,0.9755,0.0878,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.588,0.1546,0.9957,0.0949,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.593,0.1124,1.0155,0.0929,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.594,0.1004,1.0165,0.0873,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.596,0.118,1.0033,0.0871,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.596,0.1344,0.9962,0.0844,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.601,0.1559,0.986,0.088,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.602,0.172,0.9786,0.0937,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.605,0.1849,0.972,0.0988,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.606,0.1954,0.9696,0.0981,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.611,0.194,0.9715,0.0939,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.611,0.1903,0.9728,0.0866,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.616,0.1844,0.9764,0.081,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.617,0.18,0.9808,0.0763,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.62,0.18,0.9808,0.0717,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.621,0.1776,0.9806,0.0717,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.626,0.1781,0.9811,0.0707,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.627,0.1756,0.9791,0.0719,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.63,0.1752,0.9762,0.0758,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.631,0.1712,0.9762,0.0783,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.637,0.1691,0.9777,0.0817,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.637,0.1683,0.9764,0.0836,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.641,0.1671,0.9779,0.0805,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.641,0.1695,0.9786,0.0819,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.645,0.171,0.9801,0.08,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.646,0.1666,0.9801,0.078,0.0029,0.0197,-0.033,-0.0063,0.014,0.0086
0.646,0.1666,0.9801,0.078,0.0029,0.0197,-0.033,-0.0002,0.0024,-0.0141
0.649,0.1654,0.9813,0.0795,0.0029,0.0197,-0.033,-0.0002,0.0024,-0.0141
0.65,0.1598,0.9847,0.0834,0.0029,0.0197,-0.033,-0.0002,0.0024,-0.0141
0.655,0.1598,0.9847,0.0834,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.656,0.1551,0.9811,0.0856,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.656,0.1554,0.984,0.0834,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.66,0.1529,0.9847,0.0844,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.66,0.1519,0.984,0.0814,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.665,0.1522,0.9852,0.0846,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.666,0.1539,0.9857,0.0853,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.67,0.1546,0.9835,0.0866,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.671,0.1573,0.983,0.0885,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.675,0.1625,0.9825,0.089,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.675,0.1632,0.9823,0.0917,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.678,0.1627,0.9813,0.0902,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.679,0.1615,0.9821,0.0912,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.684,0.1639,0.9828,0.09,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.685,0.1671,0.985,0.0885,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.688,0.1678,0.9828,0.0863,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.689,0.1681,0.985,0.0858,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.694,0.1676,0.9857,0.0834,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.695,0.1678,0.9862,0.0839,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
0.698,0.1725,0.9862,0.0819,0.0772,-0.0373,0.0696,-0.0002,0.0024,-0.0141
